Paradigm,Condition,Percent,variable,mean_value,sd_value,se_value
Task,V1 45,0,Homo,0.128863369569453,0.0597691244441887,0.0199230414813962
Task,V1 45,0,Hetero,0.1209929326341,0.0514142924562076,0.0171380974854025
Task,V1 45,10,Homo,0.172455475578768,0.03646717594909,0.0121557253163633
Task,V1 45,10,Hetero,0.175774711976365,0.0426870076030012,0.0142290025343337
Task,V1 45,20,Homo,0.173131878886961,0.0213394872683636,0.00711316242278787
Task,V1 45,20,Hetero,0.18362469408075,0.0327958698350081,0.0109319566116694
Task,V1 45,40,Homo,0.176599104209946,0.020379819410057,0.00679327313668567
Task,V1 45,40,Hetero,0.177351673805426,0.0200603631898949,0.00668678772996495
Task,V1 45,60,Homo,0.172696985739076,0.0211102089275369,0.00703673630917897
Task,V1 45,60,Hetero,0.173102776699021,0.0127594685934056,0.00425315619780186
Task,V1 45,100,Homo,0.171663449337448,0.0235399755584742,0.0078466585194914
Task,V1 45,100,Hetero,0.168478943544993,0.0182237200869578,0.00607457336231928
Task,V1 90,0,Homo,0.111852811691351,0.0976962029875303,0.0325654009958434
Task,V1 90,0,Hetero,0.100198541545805,0.0821634727230749,0.027387824241025
Task,V1 90,10,Homo,0.187635164152366,0.0400017531450701,0.0133339177150234
Task,V1 90,10,Hetero,0.161394303412935,0.0287273649617388,0.00957578832057961
Task,V1 90,20,Homo,0.188603012835427,0.0403025192965453,0.0134341730988484
Task,V1 90,20,Hetero,0.156111848929953,0.0203880693691386,0.00679602312304622
Task,V1 90,40,Homo,0.188057129509849,0.0376349268869229,0.0125449756289743
Task,V1 90,40,Hetero,0.156200623518109,0.0186234530852585,0.00620781769508618
Task,V1 90,60,Homo,0.185943213402125,0.0408066867794962,0.0136022289264987
Task,V1 90,60,Hetero,0.157094600588201,0.0201794650494739,0.00672648834982463
Task,V1 90,100,Homo,0.177793988495002,0.0370453038197657,0.0123484346065886
Task,V1 90,100,Hetero,0.158546067185158,0.0196027654862259,0.0065342551620753
Task,V1 135,0,Homo,0.0873656778893962,0.0547039917154808,0.0182346639051603
Task,V1 135,0,Hetero,0.054977604674983,0.034622457688628,0.0115408192295427
Task,V1 135,10,Homo,0.186844564190819,0.0509223882867678,0.0169741294289226
Task,V1 135,10,Hetero,0.120915201356095,0.0318043769038689,0.0106014589679563
Task,V1 135,20,Homo,0.18809632410289,0.0390804731292629,0.013026824376421
Task,V1 135,20,Hetero,0.126565621310989,0.0212818521999571,0.00709395073331902
Task,V1 135,40,Homo,0.192014734979086,0.040856929924148,0.0136189766413827
Task,V1 135,40,Hetero,0.13925668607212,0.0189510563693721,0.0063170187897907
Task,V1 135,60,Homo,0.18960552931234,0.0366586447552619,0.012219548251754
Task,V1 135,60,Hetero,0.14164203321798,0.0179387278949757,0.0059795759649919
Task,V1 135,100,Homo,0.185041032922785,0.0389692335022775,0.0129897445007592
Task,V1 135,100,Hetero,0.145290794984512,0.0160852307574128,0.00536174358580426
Task,PPC 45,0,Homo,0.0905670901939405,0.0437239214702631,0.0178502161926111
Task,PPC 45,0,Hetero,0.0986765989408826,0.0482765520989858,0.0197088198639006
Task,PPC 45,10,Homo,0.153244428302864,0.0295572216806685,0.0120666852219943
Task,PPC 45,10,Hetero,0.144863089960171,0.0220850295483245,0.00901617555794739
Task,PPC 45,20,Homo,0.154667152562109,0.0193435904381394,0.00789698772780354
Task,PPC 45,20,Hetero,0.164770425067698,0.0215368667603934,0.00879238903687859
Task,PPC 45,40,Homo,0.157299458874261,0.0129186710373334,0.00527402536605636
Task,PPC 45,40,Hetero,0.162146713309331,0.0164354061873608,0.00670972647906925
Task,PPC 45,60,Homo,0.152841223575819,0.0152612936746167,0.00623039705292924
Task,PPC 45,60,Hetero,0.160539889854709,0.0145880144462056,0.00595553195892558
